"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improved denoising autoencoder for maritime image denoising and semantic segmentation of USV","Y. Qiu; Y. Yang; Z. Lin; P. Chen; Y. Luo; W. Huang","Electronic Information Engineering, Fuzhou University, Fuzhou, China; Nautical College, Jimei University, Xiamen, China; Electronic Information Engineering, Fuzhou University, Fuzhou, China; Electronic Information Engineering, Fuzhou University, Fuzhou, China; Electronic Information Engineering, Fuzhou University, Fuzhou, China; Electronic Information Engineering, Fuzhou University, Fuzhou, China","China Communications","7 Apr 2020","2020","17","3","46","57","Unmanned surface vehicle (USV) is currently a hot research topic in maritime communication network (MCN), where de-noising and semantic segmentation of maritime images taken by USV have been rarely studied. The former has recently researched on autoencoder model used for image denoising, but the existed models are too complicated to be suitable for real-time detection of USV. In this paper, we proposed a lightweight autoencoder combined with inception module for maritime image denoising in different noisy environments and explore the effect of different inception modules on the denoising performance. Furthermore, we completed the semantic segmentation task for maritime images taken by USV utilizing the pretrained U-Net model with tuning, and compared them with original U-Net model based on different backbone. Subsequently, we compared the semantic segmentation of noised and denoised maritime images respectively to explore the effect of image noise on semantic segmentation performance. Case studies are provided to prove the feasibility of our proposed denoising and segmentation method. Finally, a simple integrated communication system combining image denoising and segmentation for USV is shown.","1673-5447","","10.23919/JCC.2020.03.005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058605","USV;denoising;autoencoder;semantic segmentation;U-Net","Image segmentation;Noise reduction;Image denoising;Semantics;Feature extraction;Training;Noise measurement","image denoising;image segmentation;marine communication;marine robots;neural nets;object detection","MCN;improved denoising autoencoder;semantic segmentation task;maritime communication network;unmanned surface vehicle;maritime image denoising;USV;image noise;U-Net model","","11","","","","7 Apr 2020","","","IEEE","IEEE Magazines"
"Denoising hybrid noises in image with stacked autoencoder","X. Ye; L. Wang; H. Xing; L. Huang","College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China; College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China; College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China; College of Automation, Harbin Engineering University, Harbin, Heilongjiang Province, China","2015 IEEE International Conference on Information and Automation","1 Oct 2015","2015","","","2720","2724","A method based on sparse denoising autoencoder for denoising hybrid noises in image is proposed in this paper. The method is experimented on natural images and the performance is evaluated in terms of peak signal to noise ratio (PSNR). By specifically designing the training process of sparse denoising autoencoder, our model not only achieves good performance on single kind of noises, but also is relatively robust to mixed noises, which are more widely existed in practical situation. Autoencoder is a major branch of deep learning. It has been used in many applications as the method to exact features for its ability to represent the input data. Applying autoencoder to image denoising has been achieved good performance. Further research was deployed to find that autoencoder method is relatively robust compared with BM3D. And a sparse denoising autoencoder model is employed to train the network and it works well for the hybrid noise situation.","","978-1-4673-9104-7","10.1109/ICInfA.2015.7279746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7279746","image denoising;stacked sparse denoising autoencoder;deep learning","Noise;Noise reduction;Training;Image denoising;Testing;Speckle;Neural networks","feature extraction;image denoising;natural scenes;performance evaluation","image denoising;hybrid noise;stacked autoencoder;natural image;performance evaluation;peak signal to noise ratio;PSNR;training process;deep learning;feature extraction;sparse denoising autoencoder model","","11","","13","","1 Oct 2015","","","IEEE","IEEE Conferences"
"Comparative analysis of the denoising effect of unstructured vs. convolutional autoencoders","S. Majeed; Y. Mansoor; S. Qabil; F. Majeed; B. Khan","Department of Computer Science, National University of Computer and Emerging Sciences, Karachi, Pakistan; Department of Computer Science, National University of Computer and Emerging Sciences, Karachi, Pakistan; Department of Computer Science, National University of Computer and Emerging Sciences, Karachi, Pakistan; Department of Computer Science, National University of Computer and Emerging Sciences, Karachi, Pakistan; Department of Computer Science, National University of Computer and Emerging Sciences, Karachi, Pakistan","2020 International Conference on Emerging Trends in Smart Technologies (ICETST)","30 Apr 2020","2020","","","1","5","Adding noise to data affects the prediction of a discriminator. Some like a deep neural network extract features directly from inputs, where the quality of the features may be affected by the amount of the noise. A deep neural model specifically meant for feature extraction is the autoencoder, while it has also been extended to perform denoising. In this paper, we investigate the denoising effect of an encoder on different nature as well as different amounts of additive noise. The experiments are evaluated on a linearized autoencoder as well as a convolutional autoencoder, which is especially meant for image data. Denoising Autoencoders (DAE) and Convolutional Denoising Autoencoders (CDAE) are evaluated by introducing with Gaussian, Salt and Pepper, and Poisson types of noise with a factor of 0.5. The results shows 0.12, 0.09, 0.47 Mean Squared Error (MSE) for DAE and 0.13, 0.10 and 0.9 MSE in case of CDAE with the same amount of noise factor added, alluding to the insight that a lack of focus on structure in the model may help it focus more on the denoising task.","","978-1-7281-7113-5","10.1109/ICETST49965.2020.9080731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9080731","Image denoising;CNN;denoising autoencoder;convolutional denoising autoencoder","","convolutional neural nets;feature extraction;Gaussian processes;image denoising;mean square error methods","convolutional autoencoder;deep neural model;feature extraction;additive noise;image data;convolutional denoising autoencoders;noise factor;mean squared error","","1","","13","","30 Apr 2020","","","IEEE","IEEE Conferences"
"Adversarial Autoencoders for Denoising Digitized Historical Documents: The Use Case of Incunabula","H. Neji; J. Nogueras-Iso; J. Lacasta; M. Ben Halima; A. M. Alimi","University of Gabes, Tunisia; I3A, Universidad de Zaragoza, Spain; I3A, Universidad de Zaragoza, Spain; REGIM-Lab., University of Sfax, Sfax, Tunisia; REGIM-Lab.: REsearch Groups in Intelligent Machines, University of Sfax, Tunisia","2019 International Conference on Document Analysis and Recognition Workshops (ICDARW)","7 Nov 2019","2019","6","","31","34","Historical document denoising is the most challenging step in the field of image processing and computer vision. In this paper, we propose a novel end-to-end adversarial autoencoder (AAE) to generate clean images and to show how adversarial autoencoders can be used in historical document denoising. We used the Adversarial Autoencoder (AAE), which uses the generative adversarial networks (GAN) so as to suit the aggregated posterior of the hidden code vector of the autoencoder with an arbitrary prior. The experiments results prove that our approach functions more positively than the cutting-edge approaches on synthetic and real world images at a lower computational cost as well.","","978-1-7281-5054-3","10.1109/ICDARW.2019.50112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8893133","Adversarial Autoencoder;GAN;incunabula documents;image denoising;historical document images","Noise reduction;Generative adversarial networks;Generators;Training;Image reconstruction;Image denoising;Optical character recognition software","computer vision;document image processing;image denoising;neural nets","adversarial autoencoders;image processing;computer vision;AAE;clean images;generative adversarial networks;digitized historical document denoising;incunabula;aggregated posterior;hidden code vector","","2","","15","","7 Nov 2019","","","IEEE","IEEE Conferences"
"Medical Image Denoising Using Convolutional Denoising Autoencoders","L. Gondara","Department of Computer Science, Simon Fraser University","2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW)","2 Feb 2017","2016","","","241","246","Image denoising is an important pre-processing step in medical image analysis. Different algorithms have been proposed in past three decades with varying denoising performances. More recently, having outperformed all conventional methods, deep learning based models have shown a great promise. These methods are however limited for requirement of large training sample size and high computational costs. In this paper we show that using small sample size, denoising autoencoders constructed using convolutional layers can be used for efficient denoising of medical images. Heterogeneous images can be combined to boost sample size for increased denoising performance. Simplest of networks can reconstruct images with corruption levels so high that noise and signal are not differentiable to human eye.","2375-9259","978-1-5090-5910-2","10.1109/ICDMW.2016.0041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836672","Image denoising;denoising autoencoder;convolutional autoencoder","Noise reduction;Training;Noise measurement;Noise level;Convolutional codes;Image denoising;Biomedical imaging","convolutional codes;image denoising;image reconstruction;learning (artificial intelligence);medical image processing","medical image denoising;convolutional denoising autoencoders;medical image analysis;denoising performances;deep learning-based models;heterogeneous images;image reconstruction","","232","4","33","","2 Feb 2017","","","IEEE","IEEE Conferences"
"Robust and efficient data transmission over noisy communication channels using stacked and denoising autoencoders","F. N. Khan; A. P. T. Lau","Hong Kong Polytechnic University, Kowloon, HK; Hong Kong Polytechnic University, Kowloon, HK","China Communications","30 Aug 2019","2019","16","8","72","82","We study the effects of quantization and additive white Gaussian noise (AWGN) in transmitting latent representations of images over a noisy communication channel. The latent representations are obtained using autoencoders (AEs). We analyze image reconstruction and classification performance for different channel noise powers, latent vector sizes, and number of quantization bits used for the latent variables as well as AEs' parameters. The results show that the digital transmission of latent representations using conventional AEs alone is extremely vulnerable to channel noise and quantization effects. We then propose a combination of basic AE and a denoising autoencoder (DAE) to denoise the corrupted latent vectors at the receiver. This approach demonstrates robustness against channel noise and quantization effects and enables a significant improvement in image reconstruction and classification performance particularly in adverse scenarios with high noise powers and significant quantization effects.","1673-5447","","10.23919/JCC.2019.08.007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820761","communication channels;data compression;deep learning;autoencoders;denoising autoencoders","Quantization (signal);Image reconstruction;Image coding;Receivers;Decoding;Training;Noise measurement","AWGN channels;data compression;image classification;image coding;image denoising;image reconstruction;image representation;learning (artificial intelligence);vectors","latent vector sizes;receiver;corrupted latent vector denoising;channel noise powers;AEs parameters;quantization effects;high noise powers;denoising autoencoder;digital transmission;latent variables;quantization bits;latent vector;classification performance;image reconstruction;latent representations;additive white Gaussian noise;noisy communication channel;robust data transmission","","8","","","","30 Aug 2019","","","IEEE","IEEE Magazines"
"PCB Defect Detection Using Denoising Convolutional Autoencoders","S. Khalilian; Y. Hallaj; A. Balouchestani; H. Karshenas; A. Mohammadi","Computer Engineering, University of Isfahan, Isfahan, Iran; Computer Engineering, University of Isfahan, Isfahan, Iran; Computer Engineering, University of Isfahan, Isfahan, Iran; Computer Engineering, University of Isfahan, Isfahan, Iran; Industrial Automation Unit, Pardisan Rayaneh System Company, Isfahan, Iran","2020 International Conference on Machine Vision and Image Processing (MVIP)","14 Sep 2020","2020","","","1","5","Printed Circuit boards (PCBs) are one of the most important stages in making electronic products. A small defect in PCBs can cause significant flaws in the final product. Hence, detecting all defects in PCBs and locating them is essential. In this paper, we propose an approach based on denoising convolutional autoencoders for detecting defective PCBs and to locate the defects. Denoising autoencoders take a corrupted image and try to recover the intact image. We trained our model with defective PCBs and forced it to repair the defective parts. Our model not only detects all kinds of defects and locates them, but it can also repair them as well. By subtracting the repaired output from the input, the defective parts are located. The experimental results indicate that our model detects the defective PCBs with high accuracy (97.5%) compare to state of the art works.","2166-6784","978-1-7281-6832-6","10.1109/MVIP49855.2020.9187485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9187485","PCB;defect detection;autoencoder;denoising convolutional autoencoders","Noise reduction;Machine learning;Feature extraction;Maintenance engineering;Noise measurement;Inspection","automatic optical inspection;convolutional neural nets;electronic engineering computing;image denoising;object detection;printed circuits","electronic products;denoising autoencoders;Printed Circuit boards;denoising convolutional autoencoders;PCB defect detection","","6","","","","14 Sep 2020","","","IEEE","IEEE Conferences"
"Facial Image Denoising Using Convolutional Autoencoder Network","N. M. Tun; A. I. Gavrilov; N. L. Tun","Bauman Moscow State Technical University, Moscow, Russia; Bauman Moscow State Technical University, Moscow, Russia; Bauman Moscow State Technical University, Moscow, Russia","2020 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)","9 Jun 2020","2020","","","1","5","Noise effects can interfere the face recognition process in outdoor conditions. Therefore, image denoising topic is the classical issue in the field of image processing and computer vision subjects. In this paper, we show that the solution of denoising process using the autoencoder networks based on the ORL face database. The proposed method can support face recognition systems designed for use in an outdoor environment as the preprocessing stage and it can provide the effective results after training process.","","978-1-7281-4590-7","10.1109/ICIEAM48468.2020.9112080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9112080","Autoencoder;image denoising;face recognition;convolutional neural networks","Training;Image recognition;Databases;Face recognition;Noise reduction;Neural networks;Industrial engineering","computer vision;face recognition;image denoising;neural nets","ORL face database;face recognition systems;outdoor environment;effective results;training process;facial image denoising;convolutional autoencoder network;noise effects;face recognition process;image denoising topic;image processing;computer vision subjects;autoencoder networks","","6","","16","","9 Jun 2020","","","IEEE","IEEE Conferences"
"Denoising Hyperspectral Field Spectra of Vegetation with a Prosail-Fed Denoising Autoencoder","Z. Wu; Q. Qin","Institute of Remote Sensing and Geographical Information Systems, School of Earth and Space Sciences, Peking University, Beijing, China; Institute of Remote Sensing and Geographical Information Systems, School of Earth and Space Sciences, Peking University, Beijing, China","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","5857","5860","Hyperspectral field spectra are an essential foundation for the construction and evaluation of many vegetation indices and vegetation models. However, they are often contaminated by water vapor absorption and instrument noise. In this paper, a new denoising method based on a denoising autoencoder (DAE) is proposed, which was trained with simulated spectra generated by the radiative transfer model, PROSAIL. The performance of this new method was evaluated on both simulated and real-world spectra and was compared to that of several most used spectral denoising methods. Although limited by the soil spectra used for dataset generation, DAE looks remarkably promising in the denoising of vegetation field spectra, and works especially well in the removal of water vapor effects.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9554538","National Natural Science Foundation of China(grant numbers:42071314); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9554538","spectral denoising;hyperspectral;denoising auto encoder;PROSAIL;vegetation spectra","Reflectivity;Smoothing methods;Instruments;Noise reduction;Vegetation mapping;Training data;Vegetation","geophysical signal processing;neural nets;radiative transfer;remote sensing;signal denoising;soil;vegetation;vegetation mapping","prosail-fed denoising autoencoder;vegetation indices;vegetation models;water vapor absorption;instrument noise;DAE;radiative transfer model;real-world spectra;spectral denoising methods;soil spectra;vegetation field spectra;water vapor effects;hyperspectral field spectra","","","","7","","12 Oct 2021","","","IEEE","IEEE Conferences"
"Hyperspectral Stimulated Raman Scattering microscopy image denoising via a Deep Convolutional Autoencoder","P. Abdolghader; A. F. Pegoraro; A. Ridsdale; A. Stolow; I. Tamblyn","Department of Physics, University of Ottawa, Ottawa, ON, Canada; Department of Physics, University of Ottawa, Ottawa, ON, Canada; Security and Disruptive Technologies, National Research Council Canada, Ottawa, ON, Canada; Department of Physics, University of Ottawa, Ottawa, ON, Canada; Department of Physics, University of Ottawa, Ottawa, ON, Canada","2020 Photonics North (PN)","17 Aug 2020","2020","","","1","1","We demonstrate the use of a Convolutional Denoising Autoencoder Neural Network to denoise Hyperspectral Stimulated Raman Scattering microscopy images.","","978-1-7281-8108-0","10.1109/PN50013.2020.9166931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9166931","Stimulated Raman Microscopy-Deep Convolutional Autoencoder-Hyperspectral Image Denoising","Power lasers;Hyperspectral imaging;Noise reduction;Laser noise;Image reconstruction;Convolution;Pump lasers","biomedical optical imaging;coherent antiStokes Raman scattering;image denoising;neural nets;optical microscopy;Raman spectra;stimulated Raman scattering","microscopy image;deep convolutional autoencoder;Convolutional Denoising Autoencoder Neural Network;Hyperspectral Stimulated Raman Scattering microscopy images","","","","5","","17 Aug 2020","","","IEEE","IEEE Conferences"
