"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The difference learning of hidden layer between autoencoder and variational autoencoder","Q. Xu; Z. Wu; Y. Yang; L. Zhang","Electrical & Information Engineering, Shandong University, Weihai; Electrical & Information Engineering, Shandong University, Weihai; Electrical & Information Engineering, Shandong University, Weihai; Electrical & Information Engineering, Shandong University, Weihai","2017 29th Chinese Control And Decision Conference (CCDC)","17 Jul 2017","2017","","","4801","4804","Autoencoder is an excellent unsupervised learning algorithm. However, it can not generate kinds of sample data in the decoding process. Variational autoencoder is a typical generative adversarial net which can generate various data to augment the sample data. In this paper, we want to do some research about the information learning in hidden layer. In the simulation, we compare the hidden layer learning of hidden layer in conventional autoencoder and variational autoencoder.","1948-9447","978-1-5090-4657-7","10.1109/CCDC.2017.7979344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7979344","Autoencoder;Variational autoencoder;Hidden layer learning;Probabilistic model;MNIST","Probabilistic logic;Unsupervised learning;Conferences;Clustering algorithms;Data models;Encoding;Image reconstruction","decoding;image coding;probability;unsupervised learning;variational techniques","difference learning;variational autoencoder;unsupervised learning algorithm;decoding process;generative adversarial net;information learning;hidden layer learning","","6","","5","","17 Jul 2017","","","IEEE","IEEE Conferences"
"Dynamical Variational Autoencoders: A Comprehensive Review","L. Girin; S. Leglaive; X. Bie; J. Diard; T. Hueber; X. Alameda-Pineda",NA; NA; NA; NA; NA; NA,"Dynamical Variational Autoencoders: A Comprehensive Review","","2021","","","","","Variational autoencoders (VAEs) are powerful deep generative models widely used to represent high-dimensional complex data through a low-dimensional latent space learned in an unsupervised manner. In this monograph the authors introduce and discuss a general class of models, called dynamical variational autoencoders (DVAEs), which extend VAEs to model temporal vector sequences. In doing so the authors provide: • a formal definition of the general class of DVAEs • a detailed and complete technical description of seven DVAE models • a rapid overview of other DVAE models presented in the recent literature • discussion of the recent developments in DVAEs in relation to the history and technical background of the classical models DVAEs are built on • a quantitative benchmark of the selected DVAE models • a discussion to put the DVAE class of models into perspective This monograph is a comprehensive review of the current state-of-the-art in DVAEs. It gives the reader an accessible summary of the technical aspects of the different DVAE models, their connections with classical models, their cross-connections, and their unification in the DVAE class in a concise, easy-to-read book. The authors have put considerable effort into unifying the terminology and notation used across the various models which all students, researchers and practitioners working in machine learning will find an invaluable resource.","","9781680839135","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9638605.pdf&bkn=9638604&pdfType=book","","","","","","","","","","7 Dec 2021","","","now","Now Foundations and Trends Books"
"Unsupervised Anomaly detection of LM Guide Using Variational Autoencoder","M. S. Kim; J. P. Yun; S. Lee; P. Park","Pohang University of Science and Technology, Pohang, Gyeongsangbuk-do, KR; Korea Institute of Industrial Technology, Cheonan, KR; Korea Institute of Industrial Technology, Cheonan, KR; Pohang University of Science and Technology, Pohang, Gyeongsangbuk-do, KR","2019 11th International Symposium on Advanced Topics in Electrical Engineering (ATEE)","30 May 2019","2019","","","1","5","Linear Motion (LM) is a linear motion guide that helps directional moving of machine. It is important to judge the anomaly state of LM guides because LM guides are used in various industries to support various task in industry application. In this paper, we proposed a machine learning algorithm for determining the anomaly state of LM guide. Considering that it is difficult to actually generate the anomaly signal, we trained model with only healthy state data. One of the generative models, variational autoencoder, is used for training healthy state data and the distribution of healthy state data is trained. Our trained model determines whether or not anomaly state has occurred based on a reconstruction error of the trained network.","2159-3604","978-1-7281-0101-9","10.1109/ATEE.2019.8724998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8724998","LM guide;Anomaly detection;Variational autoencoder","Image reconstruction;Data models;Spectrogram;Anomaly detection;Training;Machine learning algorithms;Hidden Markov models","learning (artificial intelligence);security of data;unsupervised learning;variational techniques","unsupervised anomaly detection;LM guide;variational autoencoder;linear motion guide;anomaly state;anomaly signal;trained model;machine learning algorithm;generative models;healthy state data;reconstruction error","","7","","12","","30 May 2019","","","IEEE","IEEE Conferences"
"Self-Organized Variational Autoencoders (Self-Vae) For Learned Image Compression","M. A. Yílmaz; O. Kelesş; H. Güven; A. M. Tekalp; J. Malik; S. Kíranyaz","Dept. of Electrical & Electronics Eng., Koç University, İstanbul, Turkey; Dept. of Electrical & Electronics Eng., Koç University, İstanbul, Turkey; Dept. of Electrical & Electronics Eng., Koç University, İstanbul, Turkey; Dept. of Electrical & Electronics Eng., Koç University, İstanbul, Turkey; Tampere University, Tampere, Finland; Qatar University, Doha, Qatar","2021 IEEE International Conference on Image Processing (ICIP)","23 Aug 2021","2021","","","3732","3736","In end-to-end optimized learned image compression, it is standard practice to use a convolutional variational autoencoder with generalized divisive normalization (GDN) to transform images into a latent space. Recently, Operational Neural Networks (ONNs) that learn the best non-linearity from a set of alternatives, and their “self-organized” variants, Self-ONNs, that approximate any non-linearity via Taylor series have been proposed to address the limitations of convolutional layers and a fixed nonlinear activation. In this paper, we propose to replace the convolutional and GDN layers in the variational autoencoder with self-organized operational layers, and propose a novel self-organized variational autoencoder (Self-VAE) architecture that benefits from stronger non-linearity. The experimental results demonstrate that the proposed Self-VAE yields improvements in both rate-distortion performance and perceptual image quality.","2381-8549","978-1-6654-4115-5","10.1109/ICIP42928.2021.9506041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9506041","end-to-end learned image compression;variational autoencoder;self-organized operational layer;rate-distortion performance;perceptual quality metrics","Convolutional codes;Measurement;Visualization;Image coding;Codecs;Neurons;Rate-distortion","data compression;image coding;learning (artificial intelligence);neural nets","self-organized operational layers;variational autoencoder architecture;nonlinearity;Self-VAE yields improvements;perceptual image quality;Self-organized variational autoencoders;end-to-end optimized learned image compression;standard practice;convolutional variational autoencoder;generalized divisive normalization;latent space;Operational Neural Networks;ONNs;convolutional layers;fixed nonlinear activation;convolutional GDN;rate-distortion performance","","","","26","IEEE","23 Aug 2021","","","IEEE","IEEE Conferences"
"SIFT Features for Deep and Variational Autoencoders: A Performance Comparison","F. Barreto; S. Yadav; S. Patnaik; J. Sarvaiya","Department of Electronics and Telecommunication, Xavier Institute of Engineering, Mumbai, India; Jio Platforms Limited, Mumbai, India; School of Electronics, Kalinga Institute of Industrial Technology, Bhubaneswar, India; Department of Electronics, Sardar Vallabhbhai National Institute of Technology, Surat, India","2020 2nd International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)","1 Mar 2021","2020","","","652","655","Object detection tasks widely use the Scale Invariant Feature Transform (SIFT). SIFT key-points are extracted from model images of an object and are used to form descriptors. To achieve an object's existence from a query image, we find the candidate's matching features based on their feature vector's Euclidean distance. The goal is to maximize the SIFT features so that classification can be more accurate and reliable. In this work, we compare the encoding efficiency using the number of SIFT matches found in the images of Deep Autoencoder with that of Variational Autoencoder.","","978-1-7281-8337-4","10.1109/ICACCCN51052.2020.9362843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9362843","Convolutional Autoencoder (CAE);Deep Autoencoder;Scale Invariant Feature Transform (SIFT);Variational Autoencoder (VAE)","Image coding;Transforms;Feature extraction;Reliability;Object tracking;Task analysis;Pattern matching","feature extraction;image matching;image retrieval;object detection;transforms","Scale Invariant Feature Transform;SIFT key-points;model images;query image;candidate;feature vector;SIFT features;Deep Autoencoder;Variational Autoencoder;object detection tasks","","1","","10","","1 Mar 2021","","","IEEE","IEEE Conferences"
"Weak Label Supervision for Monaural Source Separation Using Non-negative Denoising Variational Autoencoders","E. Karamatlı; A. T. Cemgil; S. Kırbız","Bogazici Universitesi, Istanbul, TR; Bogazici Universitesi, Istanbul, TR; MEF Üniversitesi, İstanbul, , Türkiye","2019 27th Signal Processing and Communications Applications Conference (SIU)","22 Aug 2019","2019","","","1","4","Deep learning models are very effective in source separation when there are large amounts of labeled data available. However it is not always possible to have carefully labeled datasets. In this paper, we propose a weak supervision method that only uses class information rather than source signals for learning to separate short utterance mixtures. We associate a variational autoencoder (VAE) with each class within a nonnegative model. We demonstrate that deep convolutional VAEs provide a prior model to identify complex signals in a sound mixture without having access to any source signal. We show that the separation results are on par with source signal supervision.","2165-0608","978-1-7281-1904-5","10.1109/SIU.2019.8806536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806536","weak supervision;source separation;variational autoencoders","NOMA;Dogs;Source separation;Noise reduction;Data models;Convolution;Art","learning (artificial intelligence);signal denoising;source separation","variational autoencoder;nonnegative model;deep convolutional VAEs;complex signals;sound mixture;source signal supervision;weak label supervision;monaural source separation;nonnegative denoising variational autoencoders;deep learning models;carefully labeled datasets;weak supervision method;short utterance mixtures;class information","","4","1","","","22 Aug 2019","","","IEEE","IEEE Conferences"
"A Disentangled Variational Autoencoder for Prediction of Above Ground Biomass from Hyperspectral Data","P. Naik; M. Dalponte; L. Bruzzone","Sustainable Agro-ecosystems and Bioresources Department, Fondazione Edmund Mach, Italy; Sustainable Agro-ecosystems and Bioresources Department, Fondazione Edmund Mach, Italy; Department of Information Engineering and Computer Science, University of Trento, Italy","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","2991","2994","The prediction of forest biophysical parameters is an important task in remote sensing for understanding global carbon cycle. Spectral remote sensing data are available globally at a relatively economical cost making them a viable resource for forest remote sensing. However, the main drawbacks associated with such data is the uncertainty of predictions and cluttered process of selecting band combinations from hyperspectral/multispectral data to produce spectral features for modelling. In this paper, we present an approach that exploits the latest developments in generative variational autoencoders (VAE) that produce disentangled representation from input data to assess the capability of hyperspectral data to model forest aboveground biomass (AGB). The proposed VAE generates a special kind of deep spectral features that are proportional to AGB. A modelling accuracy of R2 = 0.57 (cross-validated) was obtained by the proposed approach, thus pointing out the potential of hyperspectral data to model AGB using disentangled deep spectral features. The proposed approach also enables in bypassing the unreliable process of selecting band combinations to produce spectral features and shows good prospects for mapping global level biomass.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9554415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9554415","variational autoencoders;disentangled representation;hyperspectral data;deep features;AGB","Uncertainty;Costs;Biological system modeling;Forestry;Predictive models;Data models;Biomass","forestry;geophysical image processing;remote sensing;vegetation;vegetation mapping","forest biophysical parameters;global carbon cycle;spectral remote sensing data;relatively economical cost;forest remote sensing;band combinations;generative variational autoencoders;disentangled representation;hyperspectral data;forest aboveground biomass;AGB;disentangled deep spectral features;global level biomass;disentangled variational autoencoder;ground biomass","","1","","23","","12 Oct 2021","","","IEEE","IEEE Conferences"
"Ship Detection in SAR Images Using Convolutional Variational Autoencoders","N. Ferreira; M. Silveira","Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal; Institute for Systems and Robotics, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal","IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium","17 Feb 2021","2020","","","2503","2506","We propose an unsupervised framework for ship detection in SAR image data, based on anomaly detection. We first learn representations of the SAR images with a convolutional Variational Autoencoder. Aftwerwards, we perform anomaly detection based on those representations, with a clustering algorithm. Experimental results with real SAR data are provided to illustrate the performance of the proposed algorithm.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9324389","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9324389","Variational autoencoders;unsupervised learning;ship detection;synthetic aperture radar","Marine vehicles;Training;Radar polarimetry;Data models;Synthetic aperture radar;Image reconstruction;Decoding","learning (artificial intelligence);pattern clustering;radar imaging;ships;synthetic aperture radar","SAR images;convolutional Variational Autoencoder;anomaly detection;SAR data;ship detection;convolutional variational autoencoders;unsupervised framework;SAR image data","","1","","17","","17 Feb 2021","","","IEEE","IEEE Conferences"
"Different latent variables learning in variational autoencoder","Q. Xu; Y. Yang; Z. Wu; L. Zhang","Shandong University, Jinan, Shandong, CN; Shandong University, Jinan, Shandong, CN; Shandong University, Jinan, Shandong, CN; Shandong University, Jinan, Shandong, CN","2017 4th International Conference on Information, Cybernetics and Computational Social Systems (ICCSS)","2 Nov 2017","2017","","","508","511","Unsupervised learning is a good neural network training way. However, the unsupervised learning algorithm is rare. The generative model is an interesting algorithm which can generate the similar data as the sample data by building a probabilistic model of the input data, and it can be used for unsupervised learning. Variational autoencoder is a typical generative model which is different from common autoencoder that a probabilistic parameter layer follows the hidden layer. Some new data can be reconstructed according to probabilistic model parameters. The probabilistic model parameter is the latent variable. In this paper, we want to do some research to test the data reconstruct effect of the variational autoencoder by different latent variables. According to the simulation, the more latent variables the more style of the sample is.","","978-1-5386-3257-4","10.1109/ICCSS.2017.8091468","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8091468","variational autoencoder;probabilistic model;latent Variable;MNIST","Probabilistic logic;Neurons;Image reconstruction;Training;Data models;Writing;Cybernetics","learning (artificial intelligence);neural nets;pattern classification;probability;unsupervised learning","hidden layer;probabilistic model parameter;variational autoencoder;unsupervised learning algorithm;sample data;input data;probabilistic parameter layer;neural network training","","1","","6","","2 Nov 2017","","","IEEE","IEEE Conferences"
"Deep Clustering Analysis via Dual Variational Autoencoder With Spherical Latent Embeddings","L. Yang; W. Fan; N. Bouguila","Department of Computer Science and Technology, Huaqiao University, Xiamen 361021, China.; Department of Computer Science and Technology, Huaqiao University, Xiamen 361021, China (e-mail: wentao.fan@hqu.edu.cn); Concordia Institute for Information Systems Engineering (CIISE), Concordia University, Montreal, QC H3G 1T7, Canada.","IEEE Transactions on Neural Networks and Learning Systems","","2021","PP","99","1","10","In recent years, clustering methods based on deep generative models have received great attention in various unsupervised applications, due to their capabilities for learning promising latent embeddings from original data. This article proposes a novel clustering method based on variational autoencoder (VAE) with spherical latent embeddings. The merits of our clustering method can be summarized as follows. First, instead of considering the Gaussian mixture model (GMM) as the prior over latent space as in a variety of existing VAE-based deep clustering methods, the von Mises-Fisher mixture model prior is deployed in our method, leading to spherical latent embeddings that can explicitly control the balance between the capacity of decoder and the utilization of latent embedding in a principled way. Second, a dual VAE structure is leveraged to impose the reconstruction constraint for the latent embedding and its corresponding noise counterpart, which embeds the input data into a hyperspherical latent space for clustering. Third, an augmented loss function is proposed to enhance the robustness of our model, which results in a self-supervised manner through the mutual guidance between the original data and the augmented ones. The effectiveness of the proposed deep generative clustering method is validated through comparisons with state-of-the-art deep clustering methods on benchmark datasets. The source code of the proposed model is available at https://github.com/fwt-team/DSVAE.","2162-2388","","10.1109/TNNLS.2021.3135460","National Natural Science Foundation of China(grant numbers:61876068); Open Research Projects of Zhejiang Laboratory(grant numbers:2021KH0AB01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9662055","Clustering;data augmentation;dual variational autoencoder;mixture models;variational autoencoder (VAE);variational inference;von Mises-Fisher mixture model","Clustering methods;Training;Data models;Mixture models;Data mining;Probabilistic logic;Neural networks","","","","","","","IEEE","23 Dec 2021","","","IEEE","IEEE Early Access Articles"
