"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predictive Vector Quantized Variational AutoEncoder for Spectral Envelope Quantization","T. Srikotr; K. Mano","Division of Functional Control System, Graduate School of Engineering and Science, Shibaura Institute of Technology, Japan; Division of Functional Control System, Graduate School of Engineering and Science, Shibaura Institute of Technology, Japan","2020 International Conference on Electronics, Information, and Communication (ICEIC)","2 Apr 2020","2020","","","1","4","The Predictive Vector Quantized Variational AutoEncoder is proposed to improve the reconstruction error of the conventional VQ-VAE. The proposed model can predict the current data from the previous data. The performance of the quantized spectral envelope parameters of the high-quality 48 kHz WORLD vocoder is evaluated. The results indicate that the Predictive Vector Quantized Variational AutoEncoder has a lower distortion with four target bitrates in term of log-spectral distortion, compared with the conventional VQ-VAE.","","978-1-7281-6289-8","10.1109/ICEIC49074.2020.9051233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051233","predictive vector quantization;spectral envelope;vector quantized variational autoencoder;WORLD vocoder","Vocoders;Vector quantization;Bit rate;Predictive models;Distortion;Data models","audio coding;distortion;spectral analysis;vector quantisation;vocoders","VQ-VAE;spectral envelope quantization;quantized spectral envelope parameters;predictive vector quantized variational autoencoder;reconstruction error;WORLD vocoder;log-spectral distortion;frequency 48.0 kHz","","1","","12","","2 Apr 2020","","","IEEE","IEEE Conferences"
"Vector Perturbation Precoding Under Quantized CSI","S. P. Herath; D. H. N. Nguyen; T. Le-Ngoc","Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada","IEEE Transactions on Vehicular Technology","14 Jan 2016","2016","65","1","420","427","This paper focuses on the design of vector perturbation (VP) precoding for multiuser multiple-input-single-output (MU-MISO) downlink transmission under quantized channel side information (CSI). In particular, each receiver decomposes its downlink channel vector in forms of channel direction information (CDI) and channel magnitude information (CMI) for feedback to the transmitter. The CMI contribution is studied in two scenarios: i) perfect CMI available to the transmitter and ii) only CMI statistics known at the transmitter. Under these two scenarios, using the quantized CDI and quantization error statistics, we propose a unified approach to design the VP precoders that minimize the mean square error (MSE) between channel input and output. Closed-form expressions to the precoders are then derived. Bit-error-rate (BER) results indicate that the proposed VP precoder designs are less sensitive to quantization errors, and CMI availability offers significant performance improvements.","1939-9359","","10.1109/TVT.2015.2394742","Natural Sciences and Engineering Research Council of Canada; InterDigital Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7017596","MIMO broadcast channel;vector perturbation;quantized CSI;Multiple-input–multiple-output (MIMO) broadcast channel;nonlinear precoding;quantized channel side information (CSI);vector perturbation (VP)","Vectors;Quantization (signal);Signal to noise ratio;Downlink;Transmitters;Rate-distortion;Availability","channel coding;error statistics;mean square error methods;minimisation;multiuser channels;precoding;radio links;vector quantisation;wireless channels","vector perturbation precoding;quantized CSI;multiuser multiple-input-single-output downlink transmission;MU-MISO downlink transmission;quantized channel side information;receiver;downlink channel vector decomposition;channel direction information;CDI;channel magnitude information;transmitter;CMI statistics;quantization error statistics;VP precoders;mean square error minimization;MSE minimization;closed-form expressions;bit error rate;BER;performance improvements","","9","","17","IEEE","21 Jan 2015","","","IEEE","IEEE Journals"
"Time Series Classification Based on Multi-codebook Piecewise Vector Quantized Approximation","L. Zhang; Z. Tao","School of Computer Science and Technology, Soochow University, Suzhou, Jiangsu, China; School of Computer Science and Technology, Soochow University, Suzhou, Jiangsu, China","2015 IEEE 27th International Conference on Tools with Artificial Intelligence (ICTAI)","7 Jan 2016","2015","","","385","390","Piecewise vector quantized approximation (PVQA) is a dimensionality reduction technique for time series data mining, which adopts the closet codeword stemming from a codebook of time subsequences with equal length to represent the long time series. This paper proposes a multi-codebook piecewise vector quantized approximation (MCPVQA), in which we generate a codebook for each class using PVQA on considering the difference between categories. Thus, each codebook contains the corresponding class information. In addition, training time series do not need to reconstruct for classification tasks. MCPVQA needs to only reconstruct an unseen time series using these codebooks and predict its class label according to reconstruction errors in each class. Experimental results on three time series datasets demonstrate that MCPVQA is more powerful to represent time series and has better classification performance than PVQA.","1082-3409","978-1-5090-0163-7","10.1109/ICTAI.2015.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372161","piecewise vector quantized approximation;multiple codebook;dimensionality reduction;time series;classification tasks","Time series analysis;Approximation methods;Training;Euclidean distance;Encoding;Feature extraction;Computer science","approximation theory;data mining;pattern classification;time series;vector quantisation","time series classification;multicodebook piecewise vector quantized approximation;dimensionality reduction technique;time series data mining;closet codeword stemming;time subsequences;PVQA","","2","","21","","7 Jan 2016","","","IEEE","IEEE Conferences"
"Anomaly Detection Through Latent Space Restoration Using Vector Quantized Variational Autoencoders","S. N. Marimont; G. Tarroni","Department of Computer Science City, Cit-AI, University of London; Department of Computing, BioMedIA, Imperial College London","2021 IEEE 18th International Symposium on Biomedical Imaging (ISBI)","25 May 2021","2021","","","1764","1767","We propose an out-of-distribution detection method that combines density and restoration-based approaches using Vector-Quantized Variational Auto-Encoders (VQ-VAEs). The VQ-VAE model learns to encode images in a categorical latent space. The prior distribution of latent codes is then modelled using an Auto-Regressive (AR) model. We found that the prior probability estimated by the AR model can be useful for unsupervised anomaly detection and enables the estimation of both sample and pixel-wise anomaly scores. The sample-wise score is defined as the negative log-likelihood of the latent variables above a threshold selecting highly unlikely codes. Additionally, out-of-distribution images are restored into in-distribution images by replacing unlikely latent codes with samples from the prior model and decoding to pixel space. The average L1 distance between generated restorations and original image is used as pixel-wise anomaly score. We tested our approach on the MOOD challenge datasets, and report higher accuracies compared to a standard reconstruction-based approach with VAEs.","1945-8452","978-1-6654-1246-9","10.1109/ISBI48211.2021.9433778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433778","Unsupervised anomaly detection;out-of-distribution;VAE;Vector Quantized-VAE","Location awareness;Mood;Estimation;Robustness;Image restoration;Decoding;Anomaly detection","autoregressive processes;image coding;image reconstruction;image restoration;probability;unsupervised learning;vector quantisation","latent space restoration;vector quantized variational autoencoders;out-of-distribution detection method;unsupervised anomaly detection;sample-wise score;in-distribution images;pixel-wise anomaly score;VQ-VAE;latent codes;autoregressive model;pixel-wise anomaly scores;negative log-likelihood;MOOD challenge datasets","","2","","9","","25 May 2021","","","IEEE","IEEE Conferences"
"Image reconstruction using vector quantized linear interpolation","S. S. Hemami; R. M. Gray","Information Systems Laboratory, University of Stanford, CA, USA; Information Systems Laboratory, University of Stanford, CA, USA","Proceedings of ICASSP '94. IEEE International Conference on Acoustics, Speech and Signal Processing","6 Aug 2002","1994","v","","V/629","V/632 vol.5","A reconstruction technique for block-based transform-coded images transmitted over lossy packet networks is proposed and demonstrated. Lost blocks of transform coefficients are reconstructed via linear interpolation using the same coefficients from adjacent blocks, thus preserving high frequency details and local image characteristics. Determination of the interpolation coefficients, or weights, is combined with vector quantization in a single step at the encoder, and the resulting quantized weights are transmitted as overhead information. The required transmission overhead is less than 10% for typical JPEG-coded images, and the computation for reconstruction of a block is less than that required for simply decoding a block using an inverse discrete cosine transform. This technique is applicable to both luminance and chrominance components, and the reconstructed images maintain good visual quality at loss rates as high as 30%.<>","1520-6149","0-7803-1775-0","10.1109/ICASSP.1994.389436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=389436","","Image reconstruction;Interpolation;Propagation losses;Forward error correction;Vector quantization;Automatic repeat request;Iterative decoding;Information systems;Laboratories;Frequency","image reconstruction;interpolation;vector quantisation;transform coding;packet switching;telecommunication networks","image reconstruction;vector quantized linear interpolation;block-based transform-coded images;lossy packet networks;transform coefficients;high frequency details;local image characteristics;interpolation coefficients;overhead information;vector quantization;encoder;quantized weights;transmission overhead;JPEG-coded images;chrominance components;luminance components;visual quality;loss rates","","8","","5","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Spatio-temporal indexing of vector quantized video sequences","F. M. Idris; S. Panchanathan","Department of Electrical Engineering, Visual Computing and Communications Laboratory, University of Ottawa, Ottawa, ONT, Canada; Department of Electrical Engineering, Visual Computing and Communications Laboratory, University of Ottawa, Ottawa, ONT, Canada","IEEE Transactions on Circuits and Systems for Video Technology","6 Aug 2002","1997","7","5","728","740","Visual (image and video) database systems require efficient indexing to enable fast access to the images in a database. In addition, the large memory capacity and channel bandwidth requirements for the storage and transmission of visual data necessitate the use of compression techniques. Vector quantization (VQ) is an efficient technique for low bit-rate image and video compression. In addition, the low complexity of the decoder makes VQ attractive for low power systems and applications which require fast decoding. In this paper, we present an indexing technique for compressed video using vector quantization. Here, a video sequence is first compressed using VQ. Each frame is represented by a usage map, a set of VQ labels, and a set of motion vectors. The video sequence is partitioned into shots and the various camera operations and motion within each shot are then determined by processing the VQ label maps. Each shot is indexed using a spatio-temporal index. The spatial index refers to the spatial content of the representative frame of a shot, while the temporal index represents the temporal content of the shot. The spatial index is based on the codewords used to compress the representative frame, while the temporal index is based on motion and camera operations within the shot. The proposed indexing technique is executed entirely in the compressed domain. This entails significant savings in computational and storage costs resulting in faster execution.","1558-2205","","10.1109/76.633489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=633489","","Indexing;Video sequences;Video compression;Image coding;Vector quantization;Decoding;Cameras;Spatial indexes;Database systems;Image databases","vector quantisation;video coding;image sequences;image representation;motion estimation;visual databases","spatio-temporal indexing;vector quantized video sequences;visual database systems;large memory capacity;channel bandwidth;compression techniques;indexing technique;low power systems;fast decoding;motion vectors;spatio-temporal index;computational costs;storage costs;motion estimation;MPEG;video processing","","8","6","33","","6 Aug 2002","","","IEEE","IEEE Journals"
"Index assignment for transmitting vector quantized LSF parameters over binary Markov channels","R. Iordache; I. Tabus","Signal Processing Laboratory, Tampere University of Technology, Tampere, Finland; Signal Processing Laboratory, Tampere University of Technology, Tampere, Finland","1999 IEEE International Symposium on Circuits and Systems (ISCAS)","6 Aug 2002","1999","4","","544","547 vol.4","This paper introduces a new index assignment (IA) technique for transmitting vector quantized line spectrum frequencies (LSF) over channels with memory. The original performance criterion, the channel distortion D/sub C/, is replaced with one approximation, the generalized linearity index, having the advantage of being faster to evaluate. We then present a suboptimal algorithm for maximizing the generalized linearity index, and illustrate its performance in vector quantization of a Gaussian source over a Markov channel (the specific Markov model being known as ""contagion urn model""). We also apply the algorithm to the transmission of LSF parameters quantized as in G.729 standard. The results encourage the use of the generalized linearity index for assigning the indices for quantized LSF parameters transmission over channels with memory, showing consistency of high generalized linearity index with low spectral distortion of LSF parameters.","","0-7803-5471-0","10.1109/ISCAS.1999.780062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780062","","Linearity;Signal processing algorithms;Vector quantization;Performance loss;Simulated annealing;Error correction;Signal processing;Laboratories;Frequency;Random access memory","vector quantisation;Markov processes;Gaussian channels;image coding;image matching","index assignment;vector quantized LSF parameters;binary Markov channels;line spectrum frequencies;generalized linearity index;suboptimal algorithm;Gaussian source;contagion urn model;G.729 standard;spectral distortion","","2","","12","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Sub-band Vector Quantized Variational AutoEncoder for Spectral Envelope Quantization","T. Srikotr; K. Mano","Division of Funtional Control Systems, Shibaura Institute of Technology, Japan; Division of Funtional Control Systems, Shibaura Institute of Technology, Japan","TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON)","12 Dec 2019","2019","","","296","300","Recently, a lot of deep learning model successful in taking over conventional methods in speech processing fields. Vector quantization is a popular technique to reduce the amount of speech data before transmitting. The conventional vector quantization method is based on the mathematical model. Last few years, the Vector Quantized Variational AutoEncoder has been proposed for an end-to-end vector quantization based on deep learning techniques. In this paper, we investigate the sub-band quantization in the Vector Quantized Variational AutoEncoder. This model can concentrate on specific frequency bands to assign more bits and leave the unnecessary band with few bits. Experimental results show the efficiency of the proposed quantization method for the spectral envelope parameters of the high-quality vocoder that operates at 48 kHz sampling frequency named WORLD vocoder. At the same four target bit rates, the sub-band Vector Quantized Variational AutoEncoder can reduce the Log Spectral Distortion around 0.93 dB in average.","2159-3450","978-1-7281-1895-6","10.1109/TENCON.2019.8929436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929436","vector quantization;autoencoder;vector quantized variational autoencoder;sub-band coding","Convolution;Vocoders;Shape;Decoding;Quantization (signal);Speech processing;Mathematical model","learning (artificial intelligence);spectral analysis;speech coding;vector quantisation;vocoders","log spectral distortion;target bit rates;WORLD vocoder;high-quality vocoder;specific frequency bands;mathematical model;speech data;speech processing fields;sub-band vector quantized variational autoencoder;end-to-end vector quantization;conventional vector quantization method;deep learning model;Spectral envelope quantization;frequency 48.0 kHz","","","","29","","12 Dec 2019","","","IEEE","IEEE Conferences"
"Hidden Markov models with divergence based vector quantized variances","J. Kim; R. Haimi-Cohen; F. Soonge","Philips Consumer Communications, Piscataway, NJ, USA; Philips Consumer Communications, Piscataway, NJ, USA; NA","1999 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings. ICASSP99 (Cat. No.99CH36258)","6 Aug 2002","1999","1","","125","128 vol.1","This paper describes a method to significantly reduce the complexity of continuous density HMM with only a small degradation in performance. The proposed method is noise-robust and may perform even better than the standard algorithm if training and testing noise conditions are not matched. The method is based on approximating the variance vectors of the Gaussian kernels by a vector quantization (VQ) codebook of a small size. The quantization of the variance vectors is done using an information theoretic distortion measure. Closed form expressions are given for the computation of the VQ codebook and the superiority of the proposed distortion measure over the Euclidean distance is demonstrated. The effectiveness of the proposed method is shown using the connected TI digits database and a noisy version of it. For the connected TI digit database, the proposed method shows that by quantizing the variance to 16 levels we can maintain recognition performance within 1% degradation of the original VR system. In comparison, with Euclidean distortion, a size 256 codebook is needed for a similar error rate.","1520-6149","0-7803-5041-3","10.1109/ICASSP.1999.758078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=758078","","Hidden Markov models;Degradation;Distortion measurement;Databases;Noise robustness;Performance evaluation;Testing;Kernel;Vector quantization;Euclidean distance","hidden Markov models;speech recognition;vector quantisation;speech coding;rate distortion theory;Gaussian processes;noise","hidden Markov models;divergence based vector quantized variances;complexity reduction;continuous density HMM;performance;noise-robust method;algorithm;testing noise condition;training noise condition;variance vectors;Gaussian kernels;vector quantization;VQ codebook;information theoretic distortion measure;closed form expressions;Euclidean distance;connected TI digits database;recognition performance;Euclidean distortion;error rate;speech recognition","","5","","11","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Modeling and design of multidimensional vector-quantized M-channel subband codecs","Innho Jee; R. A. Haddad","Department of Electrical Engineering Five Metrotech Center, Polytechnic University, Brooklyn, NY, USA; Department of Electrical Engineering Five Metrotech Center, Polytechnic University, Brooklyn, NY, USA","Proceedings., International Conference on Image Processing","6 Aug 2002","1995","3","","85","88 vol.3","We develop a heuristic theory for modeling, analysis, optimum filter bank design and compensation of encoding vector quantization effects in multidimensional M-band FIR filter banks. Each PDF-optimized vector quantizer is represented by a scalar nonlinear gain-plus-additive uncorrelated noise model embedded into the subband structure. We compute the mean squared reconstruction error which depends on N, the number of entries in each codebook, and k the length of each codeword (that is, the average bit rate), and on the filter coefficients. This mean squared error is then minimized subject to the perfect reconstruction constraints and the total bits for the entire bank. The algorithm gives optimum filter coefficients, compensator gains, and the bit allocations. Numerical design examples for the optimum separable and nonseparable paraunitary and biorthogonal filter banks are developed in this paper. Also, theoretical results are confirmed by extensive Monte Carlo simulation.","","0-8186-7310-9","10.1109/ICIP.1995.537586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=537586","","Multidimensional systems;Filter bank;Finite impulse response filter;Image reconstruction;Vector quantization;Bit rate;Sampling methods;Distortion;Codecs;Electronic mail","multidimensional digital filters;FIR filters;codecs;image coding;vector quantisation","heuristic theory;modeling;optimum filter bank design a;vector quantization;multidimensional M-band FIR filter banks;multidimensional vector-quantized M-channel subband codecs;PDF-optimized vector quantizer;mean squared reconstruction error;mean squared error minimisation;perfect reconstruction constraints;optimum filter coefficients;compensator gains;bit allocation;biorthogonal filter banks;nonseparable filter banks;separable filter banks;Monte Carlo simulation;paraunitary filter banks;scalar gain-plus-additive noise model;image coding","","2","2","8","","6 Aug 2002","","","IEEE","IEEE Conferences"
